web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image
"1775678344-1","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Dettol Original Instant Hand Sanitizer","50 ml","₹34","₹35","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5e861d97-44d7-4cd5-a579-17d5b8933e63.png"
"1775678344-2","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Dettol Original Alcohol Based Hand Sanitizer","200 ml","₹133","₹140","5%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/238efac8-845d-434e-bd32-af67514484eb.png"
"1775678344-3","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Filixtrue Disposable 3 Ply Mask","50 pcs","₹185","₹499","62%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2c07d99b-14f5-49dd-9100-0e25aaeb5ab0.png"
"1775678344-4","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Control D N95 Mask","1 pc","₹40","₹50","20%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ccb62ad0-369d-4abb-813f-598b8c74ac8b.png"
"1775678344-5","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Brij-S-Care Safety Hand Gloves (Blue, White)","100 pcs","₹378","₹1,480","74%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b64dc39d-19c4-48f5-a49e-cc723ec4dad6.png"
"1775678344-6","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Control D N95 Mask (5 pcs)","5 pcs","₹170","₹250","32%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/df994cd0-39b9-4394-8b23-18d54df38cc0.png"
"1775678344-7","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Savlon BIS Certified FFP2 Mask (Black)","1 pc","₹93","₹95","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ba503a61-d236-43b8-ae9c-bf15e62cf35b.png"
"1775678344-8","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Romsons Dispo Guard 3 Ply Mask","1 pack","₹192","₹500","61%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/48f05316-d56c-4081-b476-ea0b4b1943f4.png"
"1775678344-9","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Filixtrue Disposable Surgical 3 Ply Mask (Blue)","100 pcs","₹316","₹990","68%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2ba27a03-84df-4eab-ae59-0e1790011185.png"
"1775678344-10","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Quarant Disposable 3 Ply Mask (Black)","50 pcs","₹289","₹600","51%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f10d7e9e-c6cc-4455-b776-7cc2f4d9cacd.png"
"1775678344-11","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Quarant Kids Disposable 3 Ply Mask (Multicolour)","50 pcs","₹299","₹500","40%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/59f6357c-3537-4dd5-bdba-361b2dcde435.png"
"1775678344-12","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Quarant Disposable 3 Ply Mask (Blue)","50 pcs","₹279","₹600","53%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/01ea5eb6-5840-432f-a58c-74d190e33e6e.png"
"1775678344-13","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Am Safe-X Disposable Bouffant Caps","100 pcs","₹299","₹599","50%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/89a250c9-68f8-4536-ab15-cd607fd0a351.png"
"1775678344-14","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Quarant N95 Mask (White)","10 pcs","₹279","₹1,000","72%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4f57fdce-4d09-4389-bc59-3af14e7f74d3.png"
"1775678344-15","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Am Safe-X Disposable Surgical 3 Ply Mask","100 pcs","₹349","₹599","41%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e1643c25-994a-4d13-9350-b23bdb590eea.png"
"1775678344-16","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Quarant Anti-Pollution Reusable N99 Mask (Black)","1 pack","₹649","₹800","18%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8e75c9f0-8e84-4928-9068-87b3e42450cb.png"
"1775678344-17","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Quarant Kids Disposable 3 Ply Mask (Blue)","50 pcs","₹279","₹500","44%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/872ee5f9-533d-43cd-973a-5fbd9e126c15.png"
"1775678344-18","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Am Safe-X Disposable Surgical 3 Ply Mask (Sky Blue)","50 pcs","₹239","₹699","65%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5c05e238-2ac2-45cb-ae60-b6bed33bd3ba.png"
"1775678344-19","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","QUARANT 4 Ply Activated Carbon Disposable Mask","50 pcs","₹399","₹1,000","60%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ff547746-bd1a-489d-9c1e-9d6ae1cee506.png"
"1775678344-20","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Savlon BIS Certified FFP2 Mask","4 pcs","₹255","₹280","","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0f2be587-39af-4b63-8ecd-3039aaa748d2.png"
"1775678344-21","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","SynoCare 3-Ply Disposable Surgical Mask (Light Blue)","50 pcs","₹237","₹500","","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772975924450-593.png"
"1775678344-22","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Am Safe-X Disposable Bouffant Caps (Blue)","100 pcs","₹299","₹599","","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b07b00b8-b03c-4d2d-ba60-b3d174273e90.png"
"1775678344-23","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Am Safe-X Medium Disposable Gloves (Blue)","50 pcs","₹299","₹999","","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2002f95c-4e7d-41d6-a5ba-d942d3b09fb4.png"
"1775678344-24","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","DEDOX Anti Pollution Reusable & Washable Cloth Mask (Black)","6 pcs","₹239","₹599","","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/de5565ba-6917-475f-926e-dad003745a39.png"
"1775678344-25","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Quarant 80% Alcohol Based Instant Spray Hand Sanitizer","3 x 100 ml","₹239","₹240","","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4df6a729-aacc-41de-8a0a-62d7c27beb2e.png"
"1775678344-26","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Quarant Instant Hand Sanitizer","500 ml","₹279","₹300","","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a94628fd-eb89-4a92-8441-c8cfba8d8e50.png"
"1775678344-27","https://blinkit.com/cn/pharma-wellness/masks-sanitizers/cid/287/1826","Quarant KF94 Korean Style Designer Cloth Mask (Multicolour)","10 pcs","₹299","₹1,200","","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/891a328a-a232-4a34-b322-6654cfbc63cd.png"
